tailnumber,dates,aircraft,origin,destination,departure,arrival,duration,Tail_number,NAME
N7025P,24-Dec-2020,<em>Unknown</em>,"Near Red Bluff, CA","Near Emigrant Gap, CA","<em>First seen 09:25AM <span class=""tz"">PST</span></em>","<td><em>Last seen 10:02AM <span class=""tz"">PST</span></em></td>",<em>0:36</em>,N7025P,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,27-Nov-2020,<em>Unknown</em>,"<span dir=""ltr"">Redding Muni</span>","Near Chico, CA","<td>11:26AM <span class=""tz"">PST</span></td>","<td><em>Last seen 11:42AM <span class=""tz"">PST</span></em></td>",<em>0:16</em>,N7025P,A PRECIOUS LIFE FLIGHT LLC                        
N269GJ,18-Dec-2020,LJ60,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Fort Lauderdale Exec</span>","<td>08:53AM <span class=""tz"">CST</span></td>","<td>12:20PM <span class=""tz"">EST</span></td>",2:26,N269GJ,AEROCARE MEDICAL TRANSPORT SYSTEM INC             
N888CP,11-Feb-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Aurora Muni</span>","<td>10:32AM <span class=""tz"">CST</span></td>","<td>11:25AM <span class=""tz"">CST</span></td>",0:53,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,"<span dir=""ltr"">Akron-Canton Rgnl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>04:41PM <span class=""tz"">EST</span></td>","<td>04:58PM <span class=""tz"">CST</span></td>",1:17,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,"<span dir=""ltr"">McCarran Intl</span>","<span dir=""ltr"">Akron-Canton Rgnl</span>","<td>09:09AM <span class=""tz"">PST</span></td>","<td>03:40PM <span class=""tz"">EST</span></td>",3:31,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,"<span dir=""ltr"">Centennial</span>","<span dir=""ltr"">McCarran Intl</span>","<td>07:38AM <span class=""tz"">MST</span></td>","<td>08:11AM <span class=""tz"">PST</span></td>",1:33,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Centennial</span>","<td>04:56AM <span class=""tz"">CST</span></td>","<td>06:28AM <span class=""tz"">MST</span></td>",2:32,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Colorado Sprgs Muni</span>","<td>04:56AM <span class=""tz"">CST</span></td>",<td></td>,"<span title=""Changed Destination (see above)"">Diverted</span>",N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,15-Jan-2021,LJ31,"<span dir=""ltr"">McGhee Tyson</span>","<span dir=""ltr"">Aurora Muni</span>","<td>02:10AM <span class=""tz"">EST</span></td>","<td>02:19AM <span class=""tz"">CST</span></td>",1:08,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,14-Jan-2021,LJ31,"<span dir=""ltr"">Northwest Alabama Rgnl</span>","<span dir=""ltr"">McGhee Tyson</span>","<td>09:47PM <span class=""tz"">CST</span></td>","<td>11:31PM <span class=""tz"">EST</span></td>",0:44,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,14-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Northwest Alabama Rgnl</span>","<td>05:36PM <span class=""tz"">CST</span></td>","<td>06:56PM <span class=""tz"">CST</span></td>",1:19,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Jan-2021,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>11:22PM <span class=""tz"">CST</span></td>","<td>11:33PM <span class=""tz"">CST</span></td>",0:10,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Jan-2021,LJ31,"<span dir=""ltr"">Willow Run</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>11:21PM <span class=""tz"">EST</span></td>","<td>11:02PM <span class=""tz"">CST</span></td>",0:41,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Willow Run</span>","<td>05:02PM <span class=""tz"">CST</span></td>","<td>06:47PM <span class=""tz"">EST</span></td>",0:44,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Jan-2021,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>01:35AM <span class=""tz"">CST</span></td>","<td>01:46AM <span class=""tz"">CST</span></td>",0:10,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Jan-2021,LJ31,"<span dir=""ltr"">Detroit Metro Wayne Co</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>01:31AM <span class=""tz"">EST</span></td>","<td>01:11AM <span class=""tz"">CST</span></td>",0:40,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Detroit Metro Wayne Co</span>","<td>10:49PM <span class=""tz"">CST</span></td>","<td>12:35AM <span class=""tz"">EST</span> (+1)</td>",0:46,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
