,Provider ID,Service Name,Base Name / Site,State,City,Zip,Location Type,# RW,# FW,NPIAS,Level 1
FW,AK011,"40-Mile Air, LTD.",Tok Airport,AK,Tok,99780,Airport,,1,,
RW,MT004,A.L.E.R.T.,Glacier Park International Airport,MT,Kalispell,59901,Airport,,1,Y,
RW,MT004,A.L.E.R.T.,Kalispell Regional Medical Center,MT,Kalispell,59901,Hospital,2,,,
FW,MN005,A.L.S. Aerocare,Flying Cloud Airport,MN,Eden Prairie,55347,Airport,,5,Y,
RW,LA001,Acadian Ambulance Air Med Services,Air Med 3 Pecue Lane Helipad,LA,Baton Rouge,70809,Helipad,1,,,
RW,LA001,Acadian Ambulance Air Med Services,Air Med 2 Houma-Terrebonne Airport,LA,Houma,70360,Airport,1,,Y,
RW,LA001,Acadian Ambulance Air Med Services,Air Med 1 Lafayette Regional Airport,LA,Lafayette,70508,Airport,1,7,Y,
RW,LA001,Acadian Ambulance Air Med Services,Air Med 6 Hammond Northshore Regional Airport,LA,Lafayette,70509,Airport,1,,Y,
RW,LA001,Acadian Ambulance Air Med Services,Air Med 5 Lake Charles Regional Airport,LA,Lake Charles,70605,Airport,1,,Y,
RW,LA001,Acadian Ambulance Air Med Services,"Air Med 7 Monroe Regional Airport, LA",LA,Monroe,71203,Airport,1,,Y,
RW,LA001,Acadian Ambulance Air Med Services,CHNOLA 1 Children's Hospital of New Orleans,LA,New Orleans,70118,Hospital,1,,,
RW,LA001,Acadian Ambulance Air Med Services,Willis-Knighton Med Cent (Life Air Rescue 1),LA,Shreveport,71103,Hospital,1,,,
RW,LA001,Acadian Ambulance Air Med Services,Air Med 4 Woodworth Airport,LA,Woodworth,71430,Airport,1,,N,
RW,LA001,Acadian Ambulance Air Med Services,Air Med 21 Silsbee,TX,Silsbee,77656,Helipad,1,,,
RW,FL009,Advent Health Flight 1#,Florida Hospital Helipad,FL,Orlando,32803,Hospital,1,,,
FW,AR001,Aero Med Express,Rogers Municipal Airport / Carter Field,AR,Rogers,72756,Airport,,1,Y,
RW,TX001,AeroCare (Lubbock),Clovis Municipal Airport,NM,Clovis,88135,Airport,1,,Y,
RW,TX001,AeroCare (Lubbock),Nor Lea General Hospital,NM,Lovington,88260,Hospital,1,,,
RW,TX001,AeroCare (Lubbock),Fort Stockton Airport,TX,Fort Stockton,79735,Airport,1,,Y,
RW,TX001,AeroCare (Lubbock),Lubbock International Airport,TX,Lubbock,79403,Airport,1,1,N,
RW,TX001,AeroCare (Lubbock),Schleymeyer Field,TX,Odessa,79764,Airport,1,,Y,
RW,TX001,AeroCare (Lubbock),Hale County Airport,TX,Plainview,79072,Airport,1,,Y,
RW,TX001,AeroCare (Lubbock),Seminole Memorial Hospital,TX,Seminole,79360,Hospital,1,,,
RW,OK001,AeroCare Medical Transport,Yuma International Airport,AZ,Yuma,85365,Airport,3*,1,Y,
RW,OK001,AeroCare Medical Transport,Gallup Municipal Airport,NM,Gallup,87301,Airport,,1,N,
FW,IL003,"AeroCare Medical Transport System, Inc.",Scottsdale Airport,AZ,Scottsdale,85260,Airport,,1,Y,
FW,IL003,"AeroCare Medical Transport System, Inc.",Ft. Lauderdale Executive Airport,FL,Ft. Lauderdale,33309,Airport,,1,N,
FW,IL003,"AeroCare Medical Transport System, Inc.",Aurora Municipal Airport,IL,Sugar Grove,60554,Airport,,4,Y,
RW,FL001,Aeromed (Tampa),Aeromed 4 -Bartow Airport,FL,Bartow,33830,Airport,1,,Y,
RW,FL001,Aeromed (Tampa),Aeromed 5 -Punta Gorda Airport,FL,Punta Gorda,33982,Airport,1,,Y,
RW,FL001,Aeromed (Tampa),Aeromed 2 - Sebring Regional Airport,FL,Sebring,33870,Airport,1,,Y,
RW,FL001,Aeromed (Tampa),Aeromed 1 - Tampa General Hospital,FL,Tampa,33601,Hospital,2*,,,Y
