TailNumber,Origin_Airport_Name,Origin,Dest_Airport_Name,Destination,Departure,Arrival,Duration,Diverted,FWServiceName,ManufactureName,Model,State,NoFlightRecords
N111PV,Reno/Tahoe Intl ,RNO,McCarran Intl ,LAS,3/17/2020 11:08:00 PM,3/18/2020 12:28:00 AM,80,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Reno/Tahoe Intl ,RNO,3/17/2020 8:04:00 PM,3/17/2020 9:23:00 PM,79,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,San Jose Int'l ,SJC,McCarran Intl ,LAS,3/17/2020 3:13:00 PM,3/17/2020 4:47:00 PM,94,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,San Jose Int'l ,SJC,3/17/2020 11:16:00 AM,3/17/2020 12:55:00 PM,99,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,San Francisco Intl ,SFO,McCarran Intl ,LAS,3/16/2020 2:09:00 AM,3/16/2020 3:44:00 AM,95,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,San Francisco Intl ,SFO,3/15/2020 10:02:00 PM,3/15/2020 11:45:00 PM,103,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,San Jose Int'l ,SJC,McCarran Intl ,LAS,3/7/2020 3:39:00 PM,3/7/2020 5:02:00 PM,83,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Reno/Tahoe Intl ,RNO,San Jose Int'l ,SJC,3/7/2020 12:49:00 PM,3/7/2020 1:42:00 PM,53,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Reno/Tahoe Intl ,RNO,3/7/2020 10:22:00 AM,3/7/2020 11:39:00 AM,77,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Bob Hope ,BUR,McCarran Intl ,LAS,3/6/2020 10:28:00 PM,3/6/2020 11:22:00 PM,54,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Bob Hope ,BUR,3/6/2020 6:29:00 PM,3/6/2020 7:31:00 PM,62,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Bob Hope ,BUR,McCarran Intl ,LAS,3/2/2020 12:55:00 AM,3/2/2020 1:54:00 AM,59,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Bob Hope ,BUR,3/1/2020 10:07:00 PM,3/1/2020 11:11:00 PM,64,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,San Francisco Intl ,SFO,McCarran Intl ,LAS,2/25/2020 12:25:00 AM,2/25/2020 1:50:00 AM,85,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,San Francisco Intl ,SFO,2/24/2020 8:32:00 PM,2/24/2020 10:16:00 PM,104,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Van Nuys ,VNY,McCarran Intl ,LAS,2/23/2020 8:45:00 PM,2/23/2020 9:37:00 PM,52,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Van Nuys ,VNY,2/23/2020 4:22:00 PM,2/23/2020 5:19:00 PM,57,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Montgomery-Gibbs Executive ,MYF,McCarran Intl ,LAS,2/23/2020 2:32:00 AM,2/23/2020 3:28:00 AM,56,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Montgomery-Gibbs Executive ,MYF,2/22/2020 11:48:00 PM,2/23/2020 12:47:00 AM,59,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Buchanan Field ,CCR,McCarran Intl ,LAS,2/21/2020 8:16:00 PM,2/21/2020 9:57:00 PM,101,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Rocky Mtn Metropolitan ,BJC,Buchanan Field ,CCR,2/21/2020 2:00:00 PM,2/21/2020 5:48:00 PM,228,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Rocky Mtn Metropolitan ,BJC,2/21/2020 10:33:00 AM,2/21/2020 12:33:00 PM,120,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,San Francisco Intl ,SFO,McCarran Intl ,LAS,2/20/2020 3:28:00 AM,2/20/2020 4:51:00 AM,83,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Reno/Tahoe Intl ,RNO,San Francisco Intl ,SFO,2/20/2020 12:37:00 AM,2/20/2020 1:27:00 AM,50,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Bob Hope ,BUR,Reno/Tahoe Intl ,RNO,2/19/2020 10:00:00 PM,2/19/2020 11:25:00 PM,85,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Bob Hope ,BUR,2/19/2020 6:13:00 PM,2/19/2020 7:20:00 PM,67,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,San Francisco Intl ,SFO,McCarran Intl ,LAS,2/16/2020 9:31:00 PM,2/16/2020 10:57:00 PM,86,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Reno/Tahoe Intl ,RNO,San Francisco Intl ,SFO,2/16/2020 5:41:00 PM,2/16/2020 6:35:00 PM,54,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Reno/Tahoe Intl ,RNO,2/16/2020 2:55:00 PM,2/16/2020 4:28:00 PM,93,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Reno/Tahoe Intl ,RNO,McCarran Intl ,LAS,2/13/2020 9:05:00 PM,2/13/2020 10:30:00 PM,85,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,San Jose Int'l ,SJC,Reno/Tahoe Intl ,RNO,2/13/2020 6:41:00 PM,2/13/2020 7:28:00 PM,47,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,San Jose Int'l ,SJC,2/13/2020 2:19:00 PM,2/13/2020 3:56:00 PM,97,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,Salt Lake City Intl ,SLC,McCarran Intl ,LAS,2/10/2020 5:26:00 AM,2/10/2020 6:40:00 AM,74,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,Salt Lake City Intl ,SLC,2/10/2020 2:14:00 AM,2/10/2020 3:29:00 AM,75,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,San Bernardino Intl ,SBD,McCarran Intl ,LAS,2/8/2020 7:10:00 PM,2/8/2020 7:55:00 PM,45,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,San Bernardino Intl ,SBD,2/8/2020 4:51:00 PM,2/8/2020 5:39:00 PM,48,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,San Jose Int'l ,SJC,McCarran Intl ,LAS,2/5/2020 11:59:00 PM,2/6/2020 1:17:00 AM,78,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
N111PV,McCarran Intl ,LAS,San Jose Int'l ,SJC,2/5/2020 7:48:00 PM,2/5/2020 9:21:00 PM,93,False,AIRMED INTERNATIONAL LLC,BEECH,200,Alabama,False
