tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration,medical_service
N7025P,28-Feb-2021,Unknown,"Near Bend, OR",L 43.95194 -121.28694,,Unknown,First seen 04:59PM PST,,En Route,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,28-Feb-2021,Unknown,Tews Fld (CA53),"Tews Fld (Redding, CA) - CA53","Near Bend, OR",L 43.81944 -121.37583,01:36PM PST,Last seen 03:01PM PST,1:24,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,21-Feb-2021,Unknown,"Near Lincoln, CA",L 38.93333 -121.41667,Redding Muni (KRDD),"Redding Muni (Redding, CA) - KRDD",First seen 03:02PM PST,Last seen 03:49PM PST,0:47,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,21-Feb-2021,Unknown,"Near Red Bluff, CA",L 40.24000 -122.19083,"Near Marysville, CA",L 38.94750 -121.52250,First seen 12:46PM PST,Last seen 01:20PM PST,0:33,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,24-Dec-2020,Unknown,"Near Red Bluff, CA",L 40.28861 -122.05861,"Near Emigrant Gap, CA",L 39.77972 -120.52333,First seen 09:25AM PST,Last seen 10:02AM PST,0:36,A PRECIOUS LIFE FLIGHT LLC                        
N269GJ,18-Dec-2020,LJ60,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Fort Lauderdale Exec (KFXE),"Fort Lauderdale Exec (Fort Lauderdale, FL) - KFXE",08:53AM CST,12:20PM EST,2:26,AEROCARE MEDICAL TRANSPORT SYSTEM INC             
N888CP,27-Feb-2021,LJ31,General Downing - Peoria Intl (KPIA),"General Downing - Peoria Intl (Peoria, IL) - KPIA",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",06:57PM CST,07:19PM CST,0:22,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Feb-2021,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",General Downing - Peoria Intl (KPIA),"General Downing - Peoria Intl (Peoria, IL) - KPIA",05:45PM CST,06:14PM CST,0:28,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Feb-2021,LJ31,General Downing - Peoria Intl (KPIA),"General Downing - Peoria Intl (Peoria, IL) - KPIA",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",12:56PM CST,01:24PM CST,0:27,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",General Downing - Peoria Intl (KPIA),"General Downing - Peoria Intl (Peoria, IL) - KPIA",11:40AM CST,12:04PM CST,0:23,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Feb-2021,LJ31,Phoenix Sky Harbor Intl (KPHX),"Phoenix Sky Harbor Intl (Phoenix, AZ) - KPHX",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",02:24PM MST,05:58PM CST,2:34,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Phoenix Sky Harbor Intl (KPHX),"Phoenix Sky Harbor Intl (Phoenix, AZ) - KPHX",10:11AM CST,12:58PM MST,3:47,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,22-Feb-2021,LJ31,Cincinnati Muni (KLUK),"Cincinnati Muni (Cincinnati, OH) - KLUK",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",02:55PM EST,02:52PM CST,0:56,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,22-Feb-2021,LJ31,Minneapolis/St Paul Intl (KMSP),"Minneapolis/St Paul Intl (Minneapolis, MN) - KMSP",Cincinnati Muni (KLUK),"Cincinnati Muni (Cincinnati, OH) - KLUK",11:26AM CST,01:48PM EST,1:22,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,22-Feb-2021,LJ31,Pangborn Meml (KEAT),"Pangborn Meml (Wenatchee, WA) - KEAT",Minneapolis/St Paul Intl (KMSP),"Minneapolis/St Paul Intl (Minneapolis, MN) - KMSP",05:10AM PST,09:44AM CST,2:34,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,21-Feb-2021,LJ31,Centennial (KAPA),"Centennial (Denver, CO) - KAPA",Pangborn Meml (KEAT),"Pangborn Meml (Wenatchee, WA) - KEAT",12:08PM MST,01:48PM PST,2:39,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,21-Feb-2021,LJ31,Dallas Love Fld (KDAL),"Dallas Love Fld (Dallas, TX) - KDAL",Centennial (KAPA),"Centennial (Denver, CO) - KAPA",10:32AM CST,11:15AM MST,1:43,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,21-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Dallas Love Fld (KDAL),"Dallas Love Fld (Dallas, TX) - KDAL",07:09AM CST,09:23AM CST,2:14,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
