,tail_number,ICAO_code_origin,ICAO_code_destination,Path,index,PathFreq
0,N7025P,KSMF,KRDD,KSMFKRDD,KSMFKRDD,1
1,N7025P,KRBL,KSMF,KRBLKSMF,KRBLKSMF,1
2,N269GJ,KARR,KFXE,KARRKFXE,KARRKFXE,1
3,N888CP,KPIA,KARR,KPIAKARR,KPIAKARR,1
4,N888CP,KMDW,KPIA,KMDWKPIA,KMDWKPIA,1
5,N888CP,KPIA,KMDW,KPIAKMDW,KPIAKMDW,1
6,N888CP,KARR,KPIA,KARRKPIA,KARRKPIA,1
7,N888CP,KPHX,KARR,KPHXKARR,KPHXKARR,1
8,N888CP,KARR,KPHX,KARRKPHX,KARRKPHX,1
9,N888CP,KLUK,KARR,KLUKKARR,KLUKKARR,1
10,N888CP,KMSP,KLUK,KMSPKLUK,KMSPKLUK,1
11,N888CP,KEAT,KMSP,KEATKMSP,KEATKMSP,1
12,N888CP,KAPA,KEAT,KAPAKEAT,KAPAKEAT,1
13,N888CP,KDAL,KAPA,KDALKAPA,KDALKAPA,1
14,N888CP,KARR,KDAL,KARRKDAL,KARRKDAL,2
15,N888CP,KGEU,KARR,KGEUKARR,KGEUKARR,1
16,N888CP,KTUL,KGEU,KTULKGEU,KTULKGEU,1
17,N888CP,KRIC,KTUL,KRICKTUL,KRICKTUL,1
18,N888CP,KARR,KRIC,KARRKRIC,KARRKRIC,1
19,N888CP,KPNE,KARR,KPNEKARR,KPNEKARR,1
20,N888CP,KGMU,KPNE,KGMUKPNE,KGMUKPNE,1
21,N888CP,KARR,KGMU,KARRKGMU,KARRKGMU,1
22,N888CP,KMDW,KARR,KMDWKARR,KMDWKARR,8
23,N888CP,KMKE,KMDW,KMKEKMDW,KMKEKMDW,1
24,N888CP,KMDW,KMKE,KMDWKMKE,KMDWKMKE,1
25,N888CP,KARR,KMDW,KARRKMDW,KARRKMDW,4
26,N888CP,KISP,KARR,KISPKARR,KISPKARR,1
27,N888CP,KARR,KISP,KARRKISP,KARRKISP,1
28,N888CP,KARR,KARR,KARRKARR,KARRKARR,1
29,N888CP,KCAK,KARR,KCAKKARR,KCAKKARR,1
30,N888CP,KLAS,KCAK,KLASKCAK,KLASKCAK,1
31,N888CP,KAPA,KLAS,KAPAKLAS,KAPAKLAS,1
32,N888CP,KARR,KAPA,KARRKAPA,KARRKAPA,1
33,N888CP,KARR,KCOS,KARRKCOS,KARRKCOS,1
34,N888CP,KTYS,KARR,KTYSKARR,KTYSKARR,1
35,N888CP,KMSL,KTYS,KMSLKTYS,KMSLKTYS,1
36,N888CP,KARR,KMSL,KARRKMSL,KARRKMSL,1
37,N888CP,KMDW,KARR,KMDWKARR,KMDWKARR,8
38,N888CP,KYIP,KMDW,KYIPKMDW,KYIPKMDW,2
39,N888CP,KARR,KYIP,KARRKYIP,KARRKYIP,2
40,N888CP,KMDW,KARR,KMDWKARR,KMDWKARR,8
41,N888CP,KDTW,KMDW,KDTWKMDW,KDTWKMDW,1
